vt_symbol,ticker,名称,行业,计价货币
LIN-USD-STK.SMART,LIN,林德,材料-工业气体,USD
APD-USD-STK.SMART,APD,空气产品,材料-工业气体,USD
NEM-USD-STK.SMART,NEM,纽蒙特,材料-黄金矿业,USD
NEE-USD-STK.SMART,NEE,新纪元能源,公用-电力/新能源,USD
DUK-USD-STK.SMART,DUK,杜克能源,公用-电力,USD
SO-USD-STK.SMART,SO,南方公司,公用-电力,USD
T-USD-STK.SMART,T,AT&T,电信-运营商,USD
VZ-USD-STK.SMART,VZ,威瑞森,电信-运营商,USD
TMUS-USD-STK.SMART,TMUS,T-Mobile,电信-运营商,USD
DIS-USD-STK.SMART,DIS,迪士尼,媒体-娱乐,USD
CMCSA-USD-STK.SMART,CMCSA,康卡斯特,媒体-有线电视,USD
SPOT-USD-STK.SMART,SPOT,Spotify,媒体-流媒体音乐,USD
