symbol,exchange,name
12-HKD-STK,SEHK,恒基地产
1113-HKD-STK,SEHK,长实集团
1109-HKD-STK,SEHK,华润置地
688-HKD-STK,SEHK,中国海外发展
1209-HKD-STK,SEHK,华润万象生活
2-HKD-STK,SEHK,中电控股
3-HKD-STK,SEHK,香港中华煤气
2688-HKD-STK,SEHK,新奥能源
1816-HKD-STK,SEHK,中广核电力
836-HKD-STK,SEHK,华润电力
669-HKD-STK,SEHK,创科实业
2382-HKD-STK,SEHK,舜宇光学科技
981-HKD-STK,SEHK,中芯国际
1347-HKD-STK,SEHK,华虹半导体
522-HKD-STK,SEHK,ASMPT
1766-HKD-STK,SEHK,中国中车
2018-HKD-STK,SEHK,瑞声科技
941-HKD-STK,SEHK,中国移动
728-HKD-STK,SEHK,中国电信
762-HKD-STK,SEHK,中国联通
1919-HKD-STK,SEHK,中远海控
2618-HKD-STK,SEHK,京东物流
670-HKD-STK,SEHK,中国东方航空
285-HKD-STK,SEHK,比亚迪电子
968-HKD-STK,SEHK,信义光能
1772-HKD-STK,SEHK,赣锋锂业
2338-HKD-STK,SEHK,潍柴动力
6060-HKD-STK,SEHK,众安在线
788-HKD-STK,SEHK,中国铁塔
1952-HKD-STK,SEHK,云顶新耀
656-HKD-STK,SEHK,复星国际
267-HKD-STK,SEHK,中信股份
1368-HKD-STK,SEHK,特步国际
2057-HKD-STK,SEHK,中通快递-SW
2529-HKD-STK,SEHK,顺丰控股
916-HKD-STK,SEHK,龙源电力
