vt_symbol,代码,名称,行业,计价货币
1211-HKD-STK.SEHK,1211,比亚迪股份,汽车-新能源车,HKD
175-HKD-STK.SEHK,175,吉利汽车,汽车-整车,HKD
2333-HKD-STK.SEHK,2333,长城汽车,汽车-整车,HKD
2015-HKD-STK.SEHK,2015,理想汽车-W,汽车-新能源车,HKD
9866-HKD-STK.SEHK,9866,蔚来-SW,汽车-新能源车,HKD
9868-HKD-STK.SEHK,9868,小鹏汽车-W,汽车-新能源车,HKD
857-HKD-STK.SEHK,857,中国石油股份,能源-油气,HKD
883-HKD-STK.SEHK,883,中国海洋石油,能源-油气,HKD
386-HKD-STK.SEHK,386,中国石油化工股份,能源-炼化,HKD
1088-HKD-STK.SEHK,1088,中国神华,能源-煤炭/电力,HKD
2899-HKD-STK.SEHK,2899,紫金矿业,资源-黄金/铜,HKD
1818-HKD-STK.SEHK,1818,招金矿业,资源-黄金,HKD
1171-HKD-STK.SEHK,1171,兖矿能源,能源-煤炭,HKD
1-HKD-STK.SEHK,1,长和,综合-基建/港口,HKD
16-HKD-STK.SEHK,16,新鸿基地产,地产-开发,HKD
12-HKD-STK.SEHK,12,恒基地产,地产-开发,HKD
1113-HKD-STK.SEHK,1113,长实集团,地产-开发,HKD
1109-HKD-STK.SEHK,1109,华润置地,地产-开发,HKD
688-HKD-STK.SEHK,688,中国海外发展,地产-开发,HKD
1209-HKD-STK.SEHK,1209,华润万象生活,地产-物业,HKD
2-HKD-STK.SEHK,2,中电控股,公用-电力,HKD
3-HKD-STK.SEHK,3,香港中华煤气,公用-燃气,HKD
2688-HKD-STK.SEHK,2688,新奥能源,公用-燃气,HKD
1816-HKD-STK.SEHK,1816,中广核电力,公用-核电,HKD
836-HKD-STK.SEHK,836,华润电力,公用-电力,HKD
669-HKD-STK.SEHK,669,创科实业,工业-电动工具,HKD
2382-HKD-STK.SEHK,2382,舜宇光学科技,科技-光学镜头,HKD
981-HKD-STK.SEHK,981,中芯国际,半导体-晶圆代工,HKD
1347-HKD-STK.SEHK,1347,华虹半导体,半导体-晶圆代工,HKD
522-HKD-STK.SEHK,522,ASMPT,半导体-封装设备,HKD
1766-HKD-STK.SEHK,1766,中国中车,工业-轨交装备,HKD
2018-HKD-STK.SEHK,2018,瑞声科技,科技-声学元件,HKD
941-HKD-STK.SEHK,941,中国移动,电信-运营商,HKD
728-HKD-STK.SEHK,728,中国电信,电信-运营商,HKD
762-HKD-STK.SEHK,762,中国联通,电信-运营商,HKD
1919-HKD-STK.SEHK,1919,中远海控,物流-航运,HKD
2618-HKD-STK.SEHK,2618,京东物流,物流-供应链,HKD
670-HKD-STK.SEHK,670,中国东方航空,航空-客运,HKD
285-HKD-STK.SEHK,285,比亚迪电子,科技-电子制造,HKD
968-HKD-STK.SEHK,968,信义光能,新能源-光伏玻璃,HKD
1772-HKD-STK.SEHK,1772,赣锋锂业,新能源-锂矿,HKD
2338-HKD-STK.SEHK,2338,潍柴动力,工业-柴油机,HKD
6060-HKD-STK.SEHK,6060,众安在线,金融科技-互联网保险,HKD
788-HKD-STK.SEHK,788,中国铁塔,通信-铁塔运营,HKD
1952-HKD-STK.SEHK,1952,云顶新耀,医药-创新药,HKD
656-HKD-STK.SEHK,656,复星国际,综合-多元化,HKD
267-HKD-STK.SEHK,267,中信股份,综合-金融/实业,HKD
1368-HKD-STK.SEHK,1368,特步国际,消费-运动服饰,HKD
2057-HKD-STK.SEHK,2057,中通快递-SW,物流-快递,HKD
2529-HKD-STK.SEHK,2529,顺丰控股,物流-快递,HKD
916-HKD-STK.SEHK,916,龙源电力,公用-新能源电力,HKD
